GDP_当期同比增速,GDP_美国当期同比增速,居民消费价格指数(上年同月＝100)_当期,工业生产者出厂价格指数(上年同月＝100)_当期,工业生产者出厂价格指数diff,货币和准货币(M2)_期末同比增速,货币和准货币(M2)_期末同比增速_diff,进口商品价格指数(上年同月＝100)_当期,进口商品价格指数(上年同月＝100)_diff,出口商品价格指数(上年同月＝100)_当期,国房景气指数_当期,社会融资规模增量_当期,社会融资规模增量_当期_lndiff,社会融资规模增量_人民币贷款_当期,社会融资规模增量_人民币贷款_当期lndiff,人民币兑美元期末汇率,进出口总额(美元)_当期同比增速,进出口总额diff,大型商业银行不良贷款率_期末,大商logit,股份制商业银行不良贷款率_期末,股商logit,城市商业银行不良贷款率_期末,城商logit,农村商业银行不良贷款率_期末,农商logit
10.6,2.2,102.7666667,103.6333333,,18.86666667,,110.8666667,,105.5333333,106.4033333,3036.333333,,2783.666667,,0.12,39.46666667,,19.2,1.437066686,7.1,2.571428862,,,,
11.6,3.1,104.4,105.7,2.0666667,17.6,-1.26666667,111.5333333,0.6666666,105.8666667,105.05,2801,-0.080674151,1982.666667,-0.339326264,0.12,40.03333333,0.56666666,15.59,1.689056195,5.16,2.911254682,,,,
9.8,3.8,105.2666667,107.0333333,1.3333333,14.29,-3.31,115.1,3.5666667,106.3666667,104.8366667,1690.666667,-0.504853568,1213.333333,-0.491071347,0.12,32.73333333,-7.3,15.71,1.679965782,5.03,2.938141068,,,,
8.8,4.1,103.1666667,107.8666667,0.8333334,14.01666667,-0.27333333,115.4666667,0.3666667,107.9,104.4066667,2015.333333,0.175661679,1578,0.26278683,0.12,33.36666667,0.63333334,15.57,1.690576803,4.94,2.95714294,,,,
11.1,4.5,102.8333333,105.5933333,-2.2733334,14.01,-0.00666667,108.2666667,-7.2,106.3333333,102.6533333,2877.666667,0.356195173,2458.666667,0.443460975,0.12,23.13333333,-10.23333334,15,1.734601055,4.9,2.965693764,11.5,2.040655517,6.1,2.733941615
11.1,1.9,101.7333333,105.6266667,0.0333334,14.79,0.78,104.6,-3.6666667,102.9333333,102.17,2896.666667,0.00658087,2387.333333,-0.029442215,0.12,23.23333333,0.1,10.12,2.183961783,4.66,3.018434002,10.43,2.150334173,6.38,2.686075939
10.8,3.6,101.3333333,104.9966667,-0.63,17.18666667,2.39666667,100.6333333,-3.9666667,102.1666667,101.7166667,2922.333333,0.008821733,1678.666667,-0.352177155,0.12,24.66666667,1.43333334,10.11,2.185061668,4.51,3.052724376,9.74,2.226453277,5.8,2.787562264
12.4,2.6,101.3666667,103.4666667,-1.53,17.95333333,0.76666666,100.5,-0.1333333,101.4,100.7733333,1306,-0.805413353,1323,-0.238097943,0.12,22.16666667,-2.5,10.49,2.143927928,4.22,3.122218767,7.73,2.479610199,6.03,2.746228572
12.5,5.4,101.2,102.85,-0.6166667,18.93666667,0.98333334,99.43333333,-1.06666667,100.5333333,101.09,5177.333333,1.377321092,4189,1.152560157,0.12,25.8,3.63333333,9.78,2.221911648,3.92,3.199089524,7.59,2.499403606,6.96,2.592850034
13.7,0.9,101.3666667,102.6066667,-0.2433333,18.78333333,-0.15333334,100.9666667,1.53333337,102.7,102.1366667,3651,-0.34928902,2970.666667,-0.343675647,0.12,21.56666667,-4.23333333,9.47,2.25755238,3.09,3.445611622,6.72,2.630517568,6.64,2.643351024
